기간,자치구,동,사업체수,여성대표자,계,남,여,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
2019,합계,합계,"823,624","281,318","5,226,997","2,885,614","2,341,383","618,188","1,558,442","162,552","2,783,660","21,407","737,895","21,477","147,000"
2019,종로구,소계,"39,679","13,356","260,446","146,392","114,054","30,885","75,320","6,540","129,949","1,399","50,352",855,"4,825"
2019,종로구,사직동,"3,574","1,203","47,522","25,154","22,368","1,844","9,066","1,375","27,684",254,"10,180",101,592
2019,종로구,삼청동,732,327,"4,601","2,271","2,330",490,"1,217",183,"1,351",48,"2,001",11,32
2019,종로구,부암동,599,255,"3,454","1,764","1,690",428,"1,036",92,852,40,"1,392",39,174
2019,종로구,평창동,761,328,"3,447","1,518","1,929",541,"1,441",116,"1,012",45,619,59,375
2019,종로구,무악동,647,102,"1,644",872,772,593,"1,290",16,148,9,111,29,95
2019,종로구,교남동,413,178,"4,581","1,481","3,100",305,783,52,330,32,"3,293",24,175
2019,종로구,가회동,765,351,"12,817","9,546","3,271",544,"1,329",140,"9,972",61,"1,415",20,101
2019,종로구,종로1.2.3.4가동,"15,472","4,920","108,747","65,713","43,034","12,014","27,286","2,804","68,139",432,"12,155",222,"1,167"
2019,종로구,종로5·6가동,"7,238","2,396","24,537","14,825","9,712","6,298","13,541",694,"9,110",133,"1,493",113,393
2019,종로구,이화동,"1,191",407,"17,244","7,708","9,536",795,"2,474",268,"3,931",87,"10,332",41,507
2019,종로구,창신1동,"2,179",707,"5,907","2,978","2,929","1,990","3,997",135,"1,361",25,332,29,217
2019,종로구,창신2동,864,300,"2,216","1,051","1,165",799,"1,834",28,146,11,80,26,156
2019,종로구,창신3동,281,86,895,442,453,239,505,16,97,12,215,14,78
2019,종로구,숭인1동,493,162,"1,545",687,858,431,"1,076",31,169,13,220,18,80
2019,종로구,숭인2동,"1,747",540,"6,886","3,090","3,796","1,483","3,520",205,"2,650",33,585,26,131
2019,종로구,청운효자동,"1,028",465,"5,656","2,950","2,706",758,"1,469",155,"1,043",73,"2,892",42,252
2019,종로구,혜화동,"1,695",629,"8,747","4,342","4,405","1,333","3,456",230,"1,954",91,"3,037",41,300
2019,중구,소계,"60,127","22,451","392,568","213,484","179,084","47,614","113,743","10,629","220,325","1,197","54,570",687,"3,930"
2019,중구,소공동,"3,849","1,163","64,144","36,680","27,464","1,872","6,048","1,759","50,896",166,"6,940",52,260
2019,중구,회현동,"8,566","4,391","45,216","23,422","21,794","7,412","13,896",958,"28,242",102,"2,632",94,446
2019,중구,명동,"6,965","1,991","110,390","59,638","50,752","3,561","11,062","2,947","72,702",307,"25,646",150,980
2019,중구,필동,"2,886",782,"22,404","12,611","9,793","1,961","5,011",767,"10,561",114,"6,679",44,153
2019,중구,장충동,819,238,"9,181","5,254","3,927",477,"1,410",270,"6,591",49,"1,098",23,82
2019,중구,광희동,"8,472","3,019","36,451","20,148","16,303","7,138","17,892","1,196","14,322",103,"4,073",35,164
2019,중구,을지로동,"8,812","1,969","35,333","22,812","12,521","7,657","17,586","1,000","15,940",99,"1,650",56,157
2019,중구,신당5동,"1,193",471,"4,057","1,974","2,083","1,048","2,707",101,671,19,314,25,365
2019,중구,황학동,"1,947",635,"5,643","3,210","2,433","1,744","3,538",163,"1,799",17,187,23,119
2019,중구,중림동,"1,016",330,"7,530","3,578","3,952",718,"1,831",205,"4,687",54,841,39,171
2019,중구,신당동,"11,459","6,001","29,891","12,919","16,972","10,756","23,498",604,"3,753",57,"2,318",42,322
2019,중구,다산동,"1,424",475,"9,742","5,014","4,728","1,048","3,063",294,"5,907",43,566,39,206
2019,중구,약수동,833,323,"4,122","1,753","2,369",676,"1,954",107,"1,106",26,878,24,184
2019,중구,청구동,881,320,"4,419","2,598","1,821",703,"1,886",133,"1,900",26,474,19,159
2019,중구,동화동,"1,005",343,"4,045","1,873","2,172",843,"2,361",125,"1,248",15,274,22,162
2019,용산구,소계,"20,254","7,074","135,240","74,570","60,670","14,542","34,342","4,616","74,719",627,"21,427",469,"4,752"
2019,용산구,후암동,928,355,"3,658","1,856","1,802",769,"1,647",98,"1,153",41,740,20,118
2019,용산구,용산2가동,601,204,"2,070",944,"1,126",511,959,60,529,20,451,10,131
2019,용산구,남영동,"1,619",583,"20,322","11,367","8,955","1,081","3,106",403,"14,963",77,"1,907",58,346
2019,용산구,원효로2동,958,291,"6,846","4,318","2,528",634,"1,272",275,"5,088",26,364,23,122
2019,용산구,효창동,418,131,"2,182","1,211",971,295,710,72,964,29,272,22,236
2019,용산구,용문동,630,255,"1,789",817,972,565,"1,186",44,433,8,58,13,112
2019,용산구,이촌1동,812,399,"3,613","1,597","2,016",650,"1,824",93,684,24,670,45,435
2019,용산구,이촌2동,347,119,832,494,338,300,512,20,141,8,68,19,111
2019,용산구,이태원1동,"1,538",634,"7,006","3,655","3,351","1,256","3,076",247,"2,203",25,"1,626",10,101
2019,용산구,이태원2동,720,267,"2,208","1,175","1,033",570,"1,156",122,810,11,152,17,90
2019,용산구,서빙고동,414,141,"4,683","2,651","2,032",273,555,96,"2,084",33,"1,694",12,350
2019,용산구,보광동,840,340,"2,076","1,052","1,024",781,"1,464",31,205,16,359,12,48
2019,용산구,청파동,"1,685",633,"8,542","4,052","4,490","1,439","3,237",142,"2,029",65,"2,753",39,523
2019,용산구,원효로1동,"1,758",519,"10,067","5,990","4,077","1,137","2,574",547,"6,123",33,928,41,442
